,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,11.066,12.216,13.082,20.128,0.220,0.215,0.260,0.419,0.020,0.018,0.020,0.021
Continuum_2,13.067,12.709,13.164,17.499,0.177,0.185,0.193,0.359,0.014,0.015,0.015,0.020
Continuum_3,11.809,13.418,12.647,18.033,0.149,0.167,0.157,0.306,0.013,0.012,0.012,0.017
