,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.020,0.018,0.020,0.021
Continuum_2,0.014,0.015,0.015,0.020
Continuum_3,0.013,0.012,0.012,0.017
