,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2717,0.8837,0.9590,0.5914,0.2498
r_e,10.0000,3.0000,3.0000,3.1478,5.0000
n,1.0805,0.7590,0.2342,0.2802,0.7838
x_0,27.5323,47.3150,51.9682,59.9041,70.4358
