,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3665,0.7314,0.4463,0.2796,0.1867
r_e,8.1946,3.0000,2.9178,7.0000,5.0000
n,1.1723,0.8047,0.1000,0.8224,0.8116
x_0,28.4601,49.0107,52.3542,58.9777,72.7414
