,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1899,0.1944,0.3470,0.3341,0.0900
r_e,8.6441,10.0000,3.0000,3.1479,9.9736
n,1.1473,1.4342,0.2620,0.2900,1.0954
x_0,27.0103,47.7001,51.9682,59.9041,70.6857
