Name,Flux,Error_flux
Hgamma,0.9941367190819209,0.06600361087640944
Hbeta,2.8855376697753745,0.1389881141255427
Halpha,13.817473174019698,0.1767845697769005
[SII]6716,2.9021701258265074,0.07939664028054098
[SII]6731,1.9797477575916507,0.03961405133708084
HeII4687,0.061621288386629426,0.023837975067306724
HeI5876,0.3491609981320965,0.06812020075939486
[OIII]4959,0.47582430916743057,0.1320304623737632
[OIII]5007,1.4274729275022917,0.1320304623737632
[OI]6300,0.2983307397737725,0.024225406005472006
[OI]6364,0.09944357992459084,0.024225406005472006
[NII]6548,1.250455229904821,0.08506235733037362
[NII]6583,3.751365689714463,0.08506235733037362
