,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.1079,1.9000,0.6954,0.7111,0.9587,53.0271,0.0737
r_e error,0.7137,1.1330,10.0396,1.3261,7.2160,290.5480,384.9835
n error,0.0942,1.4413,1.8869,0.1318,1.2734,6310.8626,0.9728
x_0 error,0.0371,0.1431,0.1812,0.0624,0.1564,0.4038,329.2289
