,Component 1,Component 2,Component 3,Component 4
I_e error,0.1672,531.1628,1.0685,0.2741
r_e error,0.7842,10.8527,0.9477,0.1698
n error,0.1255,9.6971,0.7677,0.0395
x_0 error,0.0649,0.3592,0.4826,0.0601
