,Component 1,Component 2,Component 3,Component 4
I_e error,0.0411,0.0190,0.4836,0.0166
r_e error,488.4682,5.4649,10.4765,37.0774
n error,30.2827,0.3999,1.3901,0.3617
x_0 error,0.0019,0.0944,0.4105,15.0889
