,Component 1,Component 2,Component 3,Component 4
I_e error,0.0439,0.0074,0.0232,0.0221
r_e error,4.2001,4.3751,69.6471,76.1218
n error,2.0278,0.2324,0.3047,0.8932
x_0 error,0.0834,0.2448,59.4134,9.3041
