,Component 1,Component 2,Component 3,Component 4
I_e,3.2199,0.6927,0.2431,0.3486
r_e,1.1539,5.5116,2.6786,50.0000
n,0.1812,0.3399,0.5176,1.0694
x_0,44.0000,55.3280,62.0000,45.0000
