,Component 1,Component 2,Component 3,Component 4
I_e error,4.3117,4.9322,10.6126,0.1313
r_e error,1.6457,35.6965,17.4270,13.9244
n error,2.2021,3.4629,1.3363,0.2771
x_0 error,0.2597,68.5988,4.5369,1.0820
