,Component 1,Component 2,Component 3,Component 4
I_e error,0.0921,0.0077,0.0098,0.0080
r_e error,0.5005,4.8753,25.1312,26.1537
n error,1.0761,0.2831,0.3193,0.2908
x_0 error,0.0838,0.3772,6.6312,4.8816
