,Component 1,Component 2,Component 3,Component 4
I_e error,0.7441,0.1245,32.7139,0.1083
r_e error,1.2636,2.5380,121757.3346,11.6441
n error,0.8147,0.1686,2442752.9047,0.1510
x_0 error,0.1249,1.8134,68.5808,2.4376
