,Component 1,Component 2,Component 3,Component 4
I_e error,0.0328,14155.1936,0.0162,0.0179
r_e error,18.9018,97.6018,14.3163,74.5783
n error,1.1051,32957.5490,0.6956,0.8219
x_0 error,0.4190,0.2705,1.3557,18.4353
