,Component 1,Component 2,Component 3,Component 4
I_e error,0.0632,234.5856,0.0145,0.0162
r_e error,12.5347,51.6759,11.4124,12.9525
n error,4.9323,9834.9558,0.7422,0.1455
x_0 error,0.0366,0.4754,4.3033,7.5058
