,Component 1,Component 2,Component 3,Component 4
I_e,0.0179,0.0243,0.0076,0.0156
r_e,2.5966,10.0000,40.4542,50.0000
n,1.9396,1.0006,0.1000,0.7270
x_0,42.9792,54.4566,63.5481,29.1033
