,Component 1,Component 2,Component 3,Component 4
I_e,0.0013,0.0316,0.0266,0.0205
r_e,21.2972,9.0241,2.5405,58.1010
n,3.5592,1.4290,0.0659,0.6185
x_0,43.1253,55.4566,64.5481,28.5692
