,Component 1,Component 2,Component 3,Component 4
I_e,0.1012,0.0374,0.0260,0.0144
r_e,12.9542,21.4024,30.1489,44.1089
n,1.6518,1.6227,3.2687,1.8673
x_0,36.3999,42.6288,59.7367,72.1496
