,Component 1,Component 2,Component 3,Component 4
I_e error,0.0987,0.1299,0.1146,0.0359
r_e error,6.3223,5.5103,105.9160,22.7773
n error,0.4130,0.5175,4.1844,0.6965
x_0 error,0.1101,0.7737,0.0011,0.5299
