,Component 1,Component 2,Component 3,Component 4
I_e error,0.1199,0.1052,0.0450,0.0266
r_e error,2.6078,10.0182,98.3248,48.7344
n error,0.2646,0.6459,2.1337,1.0792
x_0 error,0.0763,0.4525,0.0005,0.4071
