,Component 1,Component 2,Component 3,Component 4
I_e error,0.2206,0.8903,0.4462,0.2957
r_e error,35.9094,37.4333,113.4135,8.8285
n error,0.4670,2.0779,1.5291,0.3364
x_0 error,0.0989,0.3774,0.0002,0.3123
