,Component 1,Component 2,Component 3,Component 4
I_e error,0.2806,13.1937,0.3500,0.2385
r_e error,13.7023,10.5474,98.2016,91.4066
n error,0.3450,0.9417,1.1515,1.4949
x_0 error,0.1522,0.5966,0.0192,0.2701
