,Component 1,Component 2,Component 3,Component 4
I_e error,0.0684,0.0886,0.0688,0.0181
r_e error,4.7692,16.9410,113.8057,23.9779
n error,0.2970,0.8120,2.9339,0.3982
x_0 error,0.0573,0.1672,0.0003,0.3282
