,Component 1,Component 2,Component 3,Component 4
I_e,0.1573,0.1617,0.0256,0.0357
r_e,12.2797,8.5457,32.0384,18.9243
n,2.1690,1.0800,3.3660,1.4355
x_0,35.8719,40.9497,59.3653,72.0990
