,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.335,0.361,0.418,0.269
Continuum_2,0.321,0.350,0.409,0.298
Continuum_3,0.275,0.303,0.359,0.258
