,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.012,0.041,0.039,0.075,0.037,0.033,0.022
Continuum_2,0.013,0.035,0.036,0.066,0.036,0.030,0.020
Continuum_3,0.011,0.030,0.032,0.055,0.034,0.025,0.017
