Name,Flux,Error_flux
Hbeta,0.5248315458490332,0.032256948088212
Halpha,2.2099572500615046,0.039724107839028154
[SII]6716,0.4437476907393044,0.013635387531399654
[SII]6731,0.3520994161157542,0.016283729291666518
HeII4687,0.01654698329412149,0.004085465801977375
HeI5876,0.06233183125068398,0.0026068380324178195
[OIII]4959,0.09773366800140171,0.018884970052813504
[OIII]5007,0.2932010040042051,0.018884970052813504
[OI]6300,0.05244665644788214,0.009931686433514948
[OI]6364,0.017482218815960713,0.009931686433514948
[NII]6548,0.20013745434057045,0.022568549625584442
[NII]6583,0.6004123630217113,0.022568549625584442
