,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,3.375,8.000,7.439,11.314,8.215,8.286,5.852
Continuum_2,4.496,9.162,9.870,13.772,9.996,8.425,6.571
Continuum_3,3.059,6.797,6.585,10.429,8.688,5.358,4.007
