,Component 1,Component 2,Component 3,Component 4
I_e error,9.4887,0.3031,0.5022,1.4487
r_e error,0.9232,65.7029,1.3338,2.9259
n error,0.9071,1.1252,0.1436,0.2252
x_0 error,0.1322,0.0085,0.2109,0.2583
