,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,5.2777,2.5846,0.2968,0.3679,0.2635
r_e error,0.1774,0.4219,0.3812,0.5841,6.6843
n error,0.1228,0.2784,0.0628,0.1111,0.1456
x_0 error,0.1395,0.3979,0.1463,0.3007,8.2392
