,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,1.3823,1.9384,1.5413,2.0995,3.3523,1.1424,2.2288
r_e,9.5387,2.4765,20.9181,11.3268,10.9703,24.6645,4.6458
n,0.3448,0.1990,0.1000,1.0515,0.1000,0.1000,0.1000
x_0,18.0000,49.5521,54.0000,61.8657,78.9834,90.0000,95.0000
