,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0456,0.0408,0.1943,0.0495,0.0728,0.5116,0.4792
r_e,7.0723,9.9667,2.4218,24.3325,10.2648,3.2919,3.4701
n,1.4831,1.9101,0.9772,2.7178,0.8879,0.1177,1.2634
x_0,19.5808,49.0587,53.8043,61.0623,78.0000,90.0000,97.0696
