,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0074,0.1249,0.2839,0.0257,0.0919,0.0245,0.2168
r_e,36.0862,3.4068,0.3042,18.7778,20.7631,4.4853,2.0357
n,1.8002,0.5524,0.2061,2.7258,0.5590,1.8907,0.6736
x_0,19.1995,50.2804,53.9860,61.1813,77.0980,90.6883,97.1851
