,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0208,4.8666,0.0235,0.0193,0.0418,0.2076,0.3535
r_e,10.9793,0.0190,3.0711,37.9707,33.3036,2.0973,1.5914
n,1.1547,6.8183,1.6132,2.3193,1.0517,0.2585,0.8675
x_0,19.3785,49.1453,52.7625,61.4194,77.0000,91.2000,97.4235
