,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0164,0.0393,0.0414,0.0239,0.0757,1.2871,0.1349
r_e,9.5721,2.4542,1.2213,49.3587,11.1211,0.0472,4.4029
n,0.9653,0.7650,0.9566,1.9390,0.5214,0.6959,0.6751
x_0,18.8551,49.3161,53.2930,61.0834,76.8025,89.5291,96.1019
