,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.7249,0.1422,0.9944,3.3502,2.6807,0.8307,0.9764
r_e,14.8639,2.2930,22.0028,11.4539,17.2590,0.2763,30.2595
n,0.6694,1.9403,0.1002,0.3662,0.1000,3.3849,0.1003
x_0,18.5132,48.9545,53.9037,61.9898,78.9922,89.9965,95.0829
