,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0067,0.0269,0.0313,0.0410,0.0630,0.1202,0.1199
r_e,34.6148,5.2054,1.8898,17.8418,25.3497,2.3514,2.4013
n,1.6659,1.2068,1.6905,1.8936,0.8404,0.1778,0.9132
x_0,19.0234,49.0071,53.4546,61.0623,76.8000,91.0322,96.9636
