,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.9603,1.4858,1.0231,0.5504,2.4390,0.6252,1.6101
r_e,8.7447,2.7095,19.0258,18.3262,11.5317,23.0969,4.1906
n,0.2518,0.2938,0.1096,1.9411,0.1000,0.1033,0.1449
x_0,18.0000,49.9088,54.0000,61.2111,78.2953,89.4003,95.0000
