,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.089,0.557,0.230,0.100
Continuum_2,0.117,0.549,0.206,0.088
Continuum_3,0.137,0.493,0.183,0.075
