,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,9.562,21.462,16.731,11.327,0.089,0.557,0.230,0.100,0.009,0.026,0.014,0.009
Continuum_2,13.834,21.956,19.229,12.937,0.117,0.549,0.206,0.088,0.008,0.025,0.011,0.007
Continuum_3,15.272,27.022,19.834,14.974,0.137,0.493,0.183,0.075,0.009,0.018,0.009,0.005
