,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,7.889,6.240,6.930,5.491,5.067
Continuum_2,12.049,8.210,9.292,7.502,7.715
Continuum_3,12.577,8.743,8.746,6.259,8.181
