,SNR,SNR,Signal,Signal,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_1,Spectrum_2,Spectrum_1,Spectrum_2
Continuum_1,3.546,4.961,0.116,0.159,0.033,0.032
Continuum_2,7.354,9.382,0.134,0.168,0.018,0.018
Continuum_3,6.993,9.104,0.114,0.148,0.016,0.016
