,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.6394,3.8191,0.3522,3.3560,1.1936,0.0999
r_e,9.9996,3.3492,49.8448,6.2010,1.8716,5.0000
n,2.7272,3.2734,2.3759,0.2978,0.8053,2.3675
x_0,16.1317,41.0881,65.9752,61.2105,72.7058,91.3611
