,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.4245,2.7171,0.5573,1.4905,1.9264,0.7473
r_e error,6.0556,0.9100,64.6135,0.9913,0.9624,27.7121
n error,0.5723,0.6516,1.6037,0.1106,0.7390,5.7815
x_0 error,0.0580,0.0241,0.0164,2.3451,0.2103,0.2512
