,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.5404,2.2327,0.5822,1.0577,1.4425,0.6103
r_e error,9.3018,1.5393,61.3492,1.1254,1.8239,25.8941
n error,1.0726,0.8058,1.0822,0.0793,0.6213,4.4131
x_0 error,0.0273,0.0244,0.1965,2.1044,0.3385,0.3750
