,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.6605,2.2146,0.6033,1.2645,1.6946,0.6375
r_e error,11.0278,1.3591,67.6861,0.6535,0.9307,26.5825
n error,1.4524,0.7302,1.2657,0.0620,0.4796,4.6465
x_0 error,0.0123,0.0230,0.2238,1.3484,0.1869,0.3097
