,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.4602,2.9310,0.3676,4.8578,1.7656,0.1000
r_e,10.0000,3.4375,49.9989,6.6840,2.1825,5.0000
n,1.8839,3.4926,2.5119,0.3622,0.9496,1.7431
x_0,16.5619,41.5775,65.9756,63.7285,72.9746,91.3193
