,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5564,4.8103,0.3021,3.7307,2.2043,0.1000
r_e,9.9614,2.8587,46.5900,6.1347,1.9689,4.8949
n,2.3156,3.0664,2.4677,0.5223,1.1011,2.2118
x_0,15.9634,40.9752,65.8515,61.6593,72.1897,90.6311
