,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.5714,2.5092,0.5876,0.4449,1.7059,0.8331
r_e error,6.6730,1.2650,64.3191,0.6258,1.4851,30.8351
n error,0.7088,0.7118,1.2532,0.0733,1.1422,6.5743
x_0 error,0.0508,0.0276,0.0463,1.0486,0.4709,0.2497
