,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.4450,3.1424,0.3384,6.4279,2.6550,0.1000
r_e,10.0000,3.2557,49.9999,6.3652,2.8253,5.0000
n,2.1639,3.2747,2.5835,0.4539,1.2208,1.8697
x_0,16.5866,41.5762,65.9756,63.4700,72.5673,91.1830
