,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.992,21.080,7.792,4.806,2.209,0.417
Continuum_2,0.850,21.590,7.765,4.467,2.672,0.388
Continuum_3,0.671,18.805,7.650,4.427,2.457,0.415
