,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.107,0.988,0.314,0.226,0.166,0.741
Continuum_2,0.099,1.169,0.392,0.266,2.223,0.092
Continuum_3,0.110,0.922,0.836,2.493,0.148,0.734
