,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,9.282,21.326,24.780,21.268,13.314,0.563
Continuum_2,8.570,18.463,19.831,16.794,1.202,4.208
Continuum_3,6.121,20.396,9.148,1.775,16.636,0.565
