,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.105,1.024,0.182,0.266,0.161,0.081
Continuum_2,0.091,0.610,0.170,0.295,0.142,0.086
Continuum_3,0.109,1.890,0.158,0.192,0.142,0.070
