,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.968,20.096,3.664,6.373,2.154,0.356
Continuum_2,0.844,21.469,3.457,6.574,2.431,0.387
Continuum_3,0.671,17.418,3.199,6.459,2.455,0.338
