,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,4.590,3.592,6.210,2.420
Continuum_2,8.993,8.408,12.949,5.859
Continuum_3,8.684,8.028,16.957,7.359
