,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.180,0.146,0.274,0.087
Continuum_2,0.199,0.180,0.333,0.132
Continuum_3,0.163,0.152,0.311,0.111
