,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,3.882,6.551,6.420,3.408
Continuum_2,6.919,10.402,11.097,8.048
Continuum_3,7.235,10.722,13.667,10.281
