Name,Flux,Error flux
Hgamma,0.7256218736965805,0.08640416643272844
Hbeta,1.7593306175222772,0.14535430479425382
Halpha,7.908289655230249,0.10475273814902508
[SII]6716,1.1949007491938395,0.058287628931988196
[SII]6731,0.9563892993411737,0.05321298344353762
HeII4687,0.04453178560105053,0.013658267656109689
HeI5876,0.10130932784268214,0.03300067284643144
[OIII]5007_d,1.4510126188282246,0.11512589772563396
[OI]6300_d,0.23406441670197062,0.03491635671687488
[NII]6583_d,3.203792831306343,0.0901451408514482
