Name,Flux,Error_flux
Hgamma,4.391789325547384,1.0072161565069013
Hbeta,4.220004468965902,0.6942478922269549
Halpha,4.05935080886525,0.46392925055953665
[SII]6716,0.9657113963738034,0.09890203508150061
[SII]6731,1.0236932836744053,0.121411101686541
HeII4687,0.04619754475702252,0.07166802110745323
HeI5876,0.023600891503919627,0.0504322349963657
[OIII]4959,0.17735829584710722,0.06705440190544962
[OIII]5007,0.5320748875413217,0.06705440190544962
[OI]6300,0.2324203292520297,0.10136741826392731
[OI]6364,0.0774734430840099,0.10136741826392731
[NII]6548,0.8881415105041679,0.1811934732718603
[NII]6583,2.6644245315125037,0.1811934732718603
