Name,Flux,Error_flux
Hgamma,1.0514547056842125,0.43463331940911065
Hbeta,1.1863055739610453,0.31664249197910715
Halpha,1.6222526417963776,0.2026691241371946
[SII]6716,0.3528384501135304,0.07247550123446442
[SII]6731,0.39661116495578225,0.09711765555056191
HeII4687,0.0,0.050788315755930916
HeI5876,0.1390889369910272,0.040848433882735846
[OIII]4959,0.115612817616055,0.06497955931278146
[OIII]5007,0.346838452848165,0.06497955931278146
[OI]6300,0.11760925031613917,0.06980972998965608
[OI]6364,0.03920308343871306,0.06980972998965608
[NII]6548,0.4860420368980064,0.10869032474754117
[NII]6583,1.4581261106940193,0.10869032474754117
