,SNR,SNR,SNR,Signal,Signal,Signal,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3
Continuum_1,10.828,0.097,8.604,0.445,0.003,0.249,0.041,0.028,0.029
Continuum_2,13.253,2.511,12.930,0.580,0.047,0.353,0.044,0.019,0.027
Continuum_3,25.000,2.755,18.592,0.620,0.039,0.383,0.025,0.014,0.021
