,SNR,Signal,Noise
Spettro_1,1.518,0.164,0.108
Spettro_2,0.983,0.110,0.112
Spettro_3,-0.931,-0.091,0.097
Spettro_4,-0.598,-0.079,0.131
Spettro_5,-1.445,-0.188,0.130
Spettro_6,31.568,2.554,0.081
Spettro_7,20.609,2.965,0.144
Spettro_8,7.050,0.916,0.130
Spettro_9,1.849,0.224,0.121
Spettro_10,-0.117,-0.016,0.132
Spettro_11,1.519,0.190,0.125
Spettro_12,1.356,0.209,0.154
Spettro_13,1.875,0.231,0.123
Spettro_14,0.914,0.097,0.106
Spettro_15,-0.582,-0.063,0.108
Spettro_16,-0.284,-0.033,0.115
Spettro_17,-0.012,-0.001,0.098
Spettro_18,2.186,0.291,0.133
Spettro_19,-1.164,-0.166,0.143
Spettro_20,-0.793,-0.088,0.110
